Name	Status	2020-02-29	2020-03-04	2020-03-08	2020-03-12	2020-03-16	2020-03-19
Mettmann	County	0	1	6	...	19	87
Minden-Lübbecke	County	0	0	5	...	55	110
Mönchengladbach	County-level City	1	1	7	...	36	46
Mülheim an der Ruhr	County-level City	0	0	0	...	9	21
Münster	County-level City	0	3	9	...	57	130
Oberbergischer Kreis	County	0	2	5	...	27	50
Oberhausen	County-level City	0	0	0	...	8	18
Olpe	County	0	0	0	...	6	14
Paderborn	County	0	0	2	...	37	59
Recklinghausen	County	0	0	1	...	51	70
Remscheid	County-level City	0	0	1	...	8	13
Rhein-Erft-Kreis	County	0	2	2	...	58	106
Rheinisch-Bergischer Kreis	County	0	3	4	...	30	60
Rhein-Kreis Neuss	County	0	1	2	...	15	50
Rhein-Sieg-Kreis	County	0	0	2	...	77	139
Siegen-Wittgenstein	County	0	0	0	...	15	26
Soest	County	0	0	0	...	15	47
Solingen	County-level City	0	0	0	...	7	32
Städteregion Aachen	County	4	24	57	...	155	298
Steinfurt	County	0	0	2	...	64	124
Unna	County	0	1	8	...	19	25
Viersen	County	0	2	6	...	16	59
Warendorf	County	0	0	2	...	57	108
Wesel	County	0	1	1	...	19	132
Wuppertal	County-level City	0	0	0	...	6	50
Rheinland-Pfalz [Rhineland-Palatinate]	State	2	7	21	52	297	749
Ahrweiler	County	0	0	0	0	7	24
Altenkirchen (Westerwald)	County	0	0	0	0	3	11
Alzey-Worms	County	0	0	0	0	8	49
Bad Dürkheim	County	0	1	5	6	16	48
Bad Kreuznach	County	0	0	0	0	13	23
Bernkastel-Wittlich	County	0	0	0	3	4	9
Birkenfeld	County	0	0	0	0	0	4
Bitburg-Prüm	County	0	0	1	1	16	29
Cochem-Zell	County	0	0	0	0	11	32
Donnersbergkreis	County	0	0	0	1	2	12
Frankenthal (Pfalz)	County-level City	0	0	0	0	1	3
Germersheim	County	0	1	3	2	8	11
Kaiserslautern	County	2	3	3	2	6	12
Kaiserslautern Stadt	County-level City	0	0	1	5	8	13
Koblenz	County-level City	0	0	4	6	13	33
Kusel	County	0	0	0	0	13	15
Landau in der Pfalz	County-level City	0	0	0	0	1	2
Ludwigshafen am Rhein	County-level City	0	0	0	1	1	12
Mainz	County-level City	0	0	1	3	19	45
Mainz-Bingen	County	0	1	1	3	17	30
Mayen-Koblenz	County	0	1	1	4	38	102
Neustadt an der Weinstraße	County-level City	0	0	0	1	1	7
Neuwied	County	0	0	1	1	20	41
Pirmasens	County-level City	0	0	0	0	0	0
Rhein-Hunsrück-Kreis	County	0	0	0	4	21	35
Rhein-Lahn-Kreis	County	0	0	0	4	6	25
Rhein-Pfalz-Kreis	County	0	0	0	0	1	6
Speyer	County-level City	0	0	0	0	2	7
Südliche Weinstraße	County	0	0	0	1	10	24
Südwestpfalz	County	0	0	0	0	0	2
Trier	County-level City	0	0	0	0	3	9
Trier-Saarburg	County	0	0	0	0	0	10
Vulkaneifel	County	0	0	0	3	9	17
Westerwaldkreis	County	0	0	0	1	19	46
Worms	County-level City	0	0	0	0	0	1
Zweibrücken	County-level City	0	0	0	0	0	0
Saarland	State	0	1	5	29	85	217
Merzig-Wadern	County	0	0	1	...	6	13
Neunkirchen	County	0	0	0	...	9	26
Regionalverband Saarbrücken	County	0	0	2	...	23	86
Saarlouis	County	0	0	0	...	15	28
Saarpfalz-Kreis	County	0	1	2	...	17	32
St. Wendel	County	0	0	0	...	16	32
Sachsen [Saxony]	State	0	1	10	49	152	389
Bautzen	County	0	0	4	12	14	45
Chemnitz	County-level City	0	0	0	3	10	18
Dresden	County-level City	0	0	3	6	23	53
Erzgebirgskreis	County	0	0	0	0	2	16
Görlitz	County	0	0	0	5	6	12
Leipzig	County	0	0	0	8	17	28
Leipzig Stadt	County-level City	0	0	2	6	41	94
Meißen	County	0	0	0	3	9	17
Mittelsachsen	County	0	0	0	0	0	17
Nordsachsen	County	0	0	0	0	3	7
Sächsische Schweiz-Osterzgebirge	County	0	1	1	6	11	25
